"datasetid","success","sitename"
"2603",1,"Saint John Island Pond"
"2604",0,"Stockbridge Bowl"
"2607",0,NA
"2609",1,"Stotzel-Leis Site"
"2610",1,"Sugarloaf Pond"
"2611",1,"Sulphur Lake"
"2615",1,"Surprise Lake"
"2617",1,"Sutherland Pond"
"2619",1,"Swamp Lake"
"2620",1,"Swan Lake"
"2621",0,"Swartswood Lake"
"2622",1,"Sweet Little Lake"
"2623",1,"Szabo Pond"
"2625",1,"Tangle Lakes"
"2626",1,"Tannersville Bog"
"2629",1,"Taupawshas Bog"
"2630",1,"Taylor Creek Site 2"
"2631",1,"Taylor Lake"
"2634",1,"Telegraph Creek"
"2636",1,"Ten Lakes"
"2637",1,"Ten Mile Lake"
"2639",1,"Petit Lac Terrien"
"2642",1,"Tiinkdhul Lake"
"2644",1,"Tioga Pass Pond"
"2645",1,"Titicut Swamp"
"2646",1,"Thompson Landing"
"2647",1,"Toboggan Lake"
"2651",1,"Tonawa Lake"
"2652",1,"Tonquin Creek"
"2654",1,"Lac à la Tortue"
"2661",1,"Tuktoyaktuk 5"
"2663",1,"Lake Tulane"
"2667",0,"Tunica Bayou Site 22"
"2668",0,"Tunica Bayou Site 23"
"2669",1,"Tunturi Lake"
"267",0,"Banks Island 74MS11"
"2671",1,"Lac Turcotte"
"2673",1,"Tuskegee Pond"
"268",0,"Banks Island 74MS12"
"269",0,"Banks Island 74MS15"
"27",1,"Aliuk Pond"
"272",1,"Big John Pond"
"274",1,"Big Pond"
"276",1,"Bishops Falls"
"278",1,"Black Pond"
"279",1,"Blacktail Pond"
"280",0,"Blandin Pond"
"281",1,"BL-Tombigbee"
"2879",1,"Twin Lakes (CA:British Columbia)"
"2880",1,"Twin Lakes"
"2882",1,"Tyrrell Lake"
"2886",0,"Unknown Pond"
"2890",1,"Upper Mallot Lake"
"2892",1,"Upper South Branch Pond"
"2897",0,"Utricularia Lake"
"2903",1,"Van Nostrand Lake"
"2912",1,"Baie du Diana"
"2919",1,"Volo Bog"
"2922",1,"Walker Lake"
"2925",1,"Watchtower Basin"
"2926",1,"Waubashene Nippissing Transgression Site"
"2943",1,"Water Conservation Area 2A, Site 2 (Site F1)"
"2947",1,"Wells Mastodon Site"
"2948",1,"Wentzel's Pond"
"2949",1,"Weslemkoon Lake"
"295",0,"Bob Black Pond"
"2950",0,"Whiskey Lake"
"2951",1,"Whitney's Gulch"
"2952",0,"White Lily Lake"
"2953",1,"Whyac Lake"
"2954",1,"Wien Lake"
"2955",1,"Wilcox Pass"
"2956",1,"Willow River Pond"
"2960",1,"Winter Gulf Site"
"2961",1,"Wintergreen Lake"
"2962",1,"Wild Spear Lake"
"300",1,"Bondi Section"
"302",1,"Boone Lake"
"3029",1,"Wolf Creek"
"303",1,"Border Beacon"
"3031",1,"Wolsfeld Lake"
"3033",1,"Wonder Lake"
"3034",0,"Woodcliff Lake"
"3036",0,"Woodworth Pond"
"3038",1,"Point Woronzof Peat Section"
"3039",1,"Woski Pond"
"304",1,"Boriack Bog"
"3041",1,"Wylde Bog"
"3042",1,"Wylde Lake"
"3046",1,"Lac Yelle"
"3048",1,"Yesterday Lake"
"3050",1,"Zuehl Farm Site"
"3054",1,"Head Lake"
"3056",1,"Como Lake"
"3058",1,"Basswood Road Lake/Splan Pond"
"306",1,"Lac Boucané"
"3060",1,"Bechan Cave"
"3062",0,"Beckman Lake"
"3067",1,"Boney Spring"
"307",0,"Boundary Lake"
"3076",1,"Toadlena Lake [Dead Man Lake]"
"308",1,"Boundary Pond"
"3081",1,"Disterhaft Farm Bog"
"309",1,"Brandreth Bog"
"311",1,"Brisay 2"
"312",1,"Brophy Ditch"
"3125",1,"E Lake"
"3126",1,"Ferndale Bog"
"3127",0,NA
"3130",1,"Heart Lake"
"3131",1,"Hells Kitchen Lake"
"3132",1,"Hershop Bog"
"3149",1,"John Klondike Bog"
"315",1,"Brown Lake"
"316",1,"Browns Pond"
"318",1,"Buckbean Fen"
"319",1,"Buck Lake"
"321",1,"Bucyrus Bog"
"324",1,"Burden Lake"
"326",1,"Lac à la Busque"
"329",1,"Saint-Calixte"
"331",1,"Camel Lake"
"338",0,"Carbuncle Pond"
"339",1,"Lac Caribou"
"340",1,"Caribou Bog"
"341",1,"Caribou Hill"
"343",1,"Carp Lake"
"345",1,"Carter Site"
"3452",1,"Kellys Hollow"
"3469",0,"Lake Ann"
"347",0,"Cascade Fen [Engineer Mountain Bog]"
"3471",1,"Lake BI2"
"3482",1,"Lake of the Clouds"
"3484",1,"Lake Louise"
"3485",1,"McNearney Lake"
"3486",1,"McNearney Lake"
"3487",1,"Medicine Lake"
"3492",1,"Lake Minnie"
"3493",1,"Mohawk Pond"
"3495",1,"Muscotah Marsh"
"3497",1,"Nichols Brook Site"
"3500",1,"Patschke Bog"
"3501",1,"Pittsburg Basin"
"352",1,"Cedar Bog"
"3541",0,"Pogonia Bog Pond"
"3542",1,"Pickerel Lake"
"3558",1,"Pogonia Bog Pond"
"3559",1,"Portage Marsh"
"3560",0,"Potato Lake"
"3561",1,"Potato Lake"
